# Radial distribution function (200 data points):
# "Pair separation distance" Zn3+2-Zn3+2 Zn3+2-O_R "Zn3+2-C in CO2" O_R-O_R "O_R-C in CO2" "C in CO2-C in CO2"
4.575 0.0 7.8577030521 0.4789457098 8.43975513 1.4368371295 1.4012583054 
4.625 0.0 7.2615752865 1.4059386101 5.1258178493 1.0154001073 2.3994685612 
4.675 0.0 3.76257154 2.2933769387 4.7380530504 0.9173507755 0.838720709 
4.725 0.0 2.4555749762 0.8980388484 3.2740999682 0.5986925656 1.231596135 
4.775 0.0 1.6029460226 1.0991629869 4.2745227269 0.6594977922 1.3667306626 
4.825 0.0 1.1774225791 1.0765006438 5.4946387026 1.0047339342 0.787383328 
4.875 0.0 0.0 1.0545320132 1.2815493216 0.9139277448 1.2341037503 
4.925 0.0 0.0 0.6199374409 0.2511320652 0.8265832545 0.9824532396 
4.975 0.0 0.0 0.810052146 0.7383287789 0.810052146 0.7406191049 
5.025 0.0 0.0 1.5880240776 1.4474177791 1.0586827184 1.0163354097 
5.075 0.0 0.0 0.5838327593 2.6015695871 0.6487030659 0.7828919286 
5.125 0.0 0.0 1.144993121 3.2467976233 0.6361072895 0.6281105121 
5.175 0.0 0.0 0.7486498052 0.9098174715 0.8110372889 1.3005116615 
5.225 0.0 0.0 1.1015853662 0.8924881439 0.9179878052 1.1414522652 
5.275 0.0 0.0 0.5404006796 1.0945615616 0.5404006796 0.8564064103 
5.325 0.0 0.0 1.0606000583 1.7185649092 0.7070667055 0.6464609879 
5.375 0.0 0.0 1.9084264521 1.2650554133 0.9252976737 1.1420817002 
5.425 0.0 0.0 0.6812401616 3.7255321339 0.6244701482 0.8097025921 
5.475 0.0 0.0 0.8360679015 1.2192656897 0.9475436217 1.0395907164 
5.525 0.0 0.0 0.1642008052 0.3990991794 0.656803221 1.0208598635 
5.575 0.0 0.0 0.0 1.1759177983 0.6988311487 0.8256958803 
5.625 0.0 0.0 0.1584144881 1.9251760701 0.897682099 0.9269510615 
5.675 0.0 0.0 1.2450828674 0.1891401925 0.6744198865 1.1952795527 
5.725 0.0 0.0 0.9175723521 0.5575526445 0.3058574507 0.7270668543 
5.775 0.0 0.0 0.9017525345 0.3652932721 1.2524340757 1.0443153161 
5.825 0.0 0.0 1.0340613964 0.718098192 0.5416512077 1.0804886428 
5.875 0.0 0.0 1.4521933646 0.352963665 1.1617546917 0.8497405745 
5.925 0.0 0.0 0.7138936664 0.8675791085 1.4277873328 0.6265946695 
5.975 0.0 0.0 1.2635922895 1.023743753 1.0763934318 1.2323033375 
6.025 0.0 0.0 1.242706946 1.5102341357 1.1966807628 0.8079567699 
6.075 0.0 0.0 0.6790750894 2.1456886506 0.7696184347 1.0430593374 
6.125 0.0 0.0 1.202460234 1.2989539565 1.1133891055 0.9772375235 
6.175 0.0 0.0 1.1830661379 1.7572548731 0.832528023 0.5288117848 
6.225 0.0 0.0 0.9054402675 1.1003614362 0.3880458289 1.0407019564 
6.275 0.0 0.0 0.7637730034 0.9281963583 0.5940456693 0.9310756613 
6.325 0.0 0.0 0.8770362214 0.4567896986 0.5011635551 0.412386011 
6.375 0.0 0.0 1.1099993289 0.8993050119 0.8222217251 1.3080373045 
6.425 0.0 0.0 1.3356326921 0.29512086 0.9713692306 0.8437035603 
6.475 0.0 0.0 0.597765866 0.1452903147 1.195531732 0.5246676401 
6.525 0.0 0.0 1.0595517268 0.2861443707 1.0987943833 0.9902604075 
6.575 0.0 0.0 1.275386716 0.1409044667 1.5072752099 0.9752567512 
6.625 0.0 0.0 0.91360606 0.0 0.91360606 1.002356363 
6.675 0.0 0.0 1.0124667042 0.0 0.9749679374 1.2342451251 
6.725 0.0 0.0 0.7758080352 0.0 0.8496945148 0.8511722444 
6.775 0.0 0.0 0.8735992007 0.0 1.201198901 0.9584631231 
6.825 0.0 0.0 1.8292980813 0.0 1.1836634644 0.7477063754 
6.875 0.0 0.0 1.37860181 0.0 1.1311604595 0.8532181752 
6.925 0.0 0.0 1.1497252101 0.0 0.8361637892 0.8791664983 
6.975 0.0 0.0 0.7211914472 0.0 0.8585612467 0.9042857656 
7.025 0.0 0.0 1.0156599343 0.617154474 0.7786726163 0.9657475033 
7.075 0.0 0.0 1.1014906133 1.0952321439 1.235004627 0.9155246656 
7.125 0.0 0.0 1.086085403 1.0799144632 1.1848204397 0.7582850814 
7.175 0.0 0.0 1.3630923444 1.3015638705 1.3630923444 1.1750412373 
7.225 0.0 0.0 0.8641873098 1.0502276334 1.120242809 0.9832531169 
7.275 0.0 0.0 0.9470547932 0.3452803934 0.7892123277 1.2122301353 
7.325 0.0 0.0 1.1210038729 0.2270551826 1.0275868835 0.9907538991 
7.375 0.0 0.0 1.013700787 0.5599672908 0.6758005247 0.5392361589 
7.425 0.0 0.0 1.0910119317 0.441960852 1.1516237057 1.2967456102 
7.475 0.0 0.0 0.627938105 1.9623065782 0.6877417341 0.88577718 
7.525 0.0 0.0 1.1507250233 0.7530118342 1.1212192535 0.9387892938 
7.575 0.0 0.0 1.0482314995 0.6369462237 1.0482314995 1.4056285251 
7.625 0.0 0.0 1.0345293234 0.6286202486 1.1782139517 1.0089124068 
7.675 0.0 0.0 0.5956382062 0.2068188216 1.3047313087 0.7779764325 
7.725 0.0 0.0 1.0079188444 0.0 1.1759053184 0.9829608539 
7.775 0.0 0.0 1.5754118946 0.0 1.1884686222 1.3342435775 
7.825 0.0 0.0 1.1460423773 0.0 1.0914689308 1.1675599077 
7.875 0.0 0.0 1.2931836648 0.0 1.0237704013 1.0345469319 
7.925 0.0 0.0 0.7980733872 0.0 1.5695443281 1.1090939872 
7.975 0.0 0.0 1.497385441 0.0 1.6024651211 1.1528742042 
8.025 0.0 0.0 0.7783076949 0.0 0.9339692339 0.8539147281 
8.075 0.0 0.0 1.1530486211 0.0 1.3580350426 0.8714851292 
8.125 0.0 0.0 1.4426078875 0.0 0.987047502 1.1940020772 
8.175 0.0 0.0 1.4250153278 0.0 1.37501479 0.713150528 
8.225 0.0 0.0 0.8891006068 0.0 1.2101647149 1.273530774 
8.275 0.0 0.0 0.7319905681 0.0 1.3175830226 1.0440276903 
8.325 0.0 0.0 1.0848364791 0.0 1.2535888203 1.2431192873 
8.375 0.0 0.0 1.0719219125 0.0 1.2386653211 1.0453790842 
8.425 0.0 0.0 0.988620822 0.0 1.200468141 1.1621338643 
8.475 0.0 0.0 0.7676350973 0.0 1.0700368022 0.6890771159 
8.525 0.0 0.0 0.4827817349 0.0 1.2184491404 0.8828008866 
8.575 0.0 0.0 1.0225029801 0.0 1.2042812877 0.9722542622 
8.625 0.0 0.0 0.6737881792 0.0 1.1454399047 1.1335042283 
8.675 0.0 0.0 1.1322740745 0.0 0.9768639074 0.9743265986 
8.725 0.0 0.0 1.2510202871 0.0 1.1851771141 1.0595107153 
8.775 0.0 0.0 0.9764244484 0.0 1.1934076591 1.0474709511 
8.825 0.0 0.0 1.222829261 0.0 0.7937663624 0.9650237536 
8.875 0.0 0.4640147074 1.2090897517 0.0 1.145453449 1.0472717248 
8.925 0.0 1.1470755993 0.8180287702 0.0 1.027779737 1.0815958422 
8.975 0.0 3.5164243848 0.9333919104 0.0 1.0578441652 1.0240642675 
9.025 0.0 3.2532099569 1.1076939518 0.0 1.1897453557 1.1477819234 
9.075 0.0 0.6656815363 1.095521614 0.0 1.2578211124 0.8012958091 
9.125 0.0 1.2070784019 0.9631545067 0.0 1.1838774145 0.858583446 
9.175 0.0 0.4341665871 1.6671996943 0.0 1.1908569245 1.1976618212 
9.225 0.0 0.2147364701 1.2368820677 0.0 1.0798176782 1.1631739935 
9.275 0.0 0.5310687454 1.5731773578 0.4248549963 1.2041604467 0.9801977019 
9.325 0.0 2.5218668169 1.4410667525 0.7705704163 1.1336391787 0.9697144044 
9.375 0.0 3.0148384303 1.2546480325 1.8019723951 1.1595989391 1.0428243387 
9.425 0.0 1.748617466 1.2413714582 1.9886237849 1.147328166 1.2175113315 
9.475 0.0 0.8142170058 1.6191286743 2.1712453487 1.0980297906 0.9392541512 
9.525 0.0 0.8056912516 0.8839584017 1.3428187526 1.2891060025 0.8890095926 
9.575 0.0 0.1993246777 1.3667977897 1.1295065067 1.2574539665 0.7597833656 
9.625 0.0 0.1972591555 1.1362127359 1.2493079851 1.0821073675 1.1278650505 
9.675 0.0 0.0 1.2851420649 1.1062782532 1.1601976975 1.0183220934 
9.725 0.0 0.0 1.4839547763 0.3864465563 1.0423015691 1.2210827874 
9.775 0.0 0.0 1.4163549229 0.3187527154 1.136581111 0.7865640884 
9.825 0.0 0.0 0.9346505395 0.3155166752 0.9865755695 0.8925170866 
9.875 0.0 0.0 1.6448172545 0.3747955984 0.9423432187 0.9962893084 
9.925 0.0 0.0 1.5265186572 0.6183814005 0.9667951496 0.8560135099 
9.975 0.0 0.0 1.007502399 1.7141533872 1.0914609322 1.0316824566 
